date,portfolio_value,agent,ticker,fold_id,seed
2021-06-08,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-09,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-10,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-11,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-14,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-15,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-16,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-17,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-18,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-21,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-22,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-23,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-24,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-25,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-28,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-29,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-06-30,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-01,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-02,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-06,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-07,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-08,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-09,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-12,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-13,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-14,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-15,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-16,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-19,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-20,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-21,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-22,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-23,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-26,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-27,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-28,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-29,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-07-30,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-02,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-03,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-04,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-05,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-06,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-09,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-10,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-11,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-12,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-13,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-16,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-17,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-18,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-19,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-20,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-23,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-24,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-25,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-26,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-27,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-30,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-08-31,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-01,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-02,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-03,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-07,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-08,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-09,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-10,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-13,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-14,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-15,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-16,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-17,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-20,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-21,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-22,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-23,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-24,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-27,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-28,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-29,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-09-30,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-01,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-04,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-05,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-06,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-07,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-08,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-11,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-12,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-13,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-14,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-15,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-18,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-19,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-20,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-21,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-22,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-25,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-26,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-27,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-28,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-10-29,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-01,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-02,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-03,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-04,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-05,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-08,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-09,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-10,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-11,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-12,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-15,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-16,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-17,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-18,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-19,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-22,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-23,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-24,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-26,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-29,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
2021-11-30,1008079.1896935093,ppo_standalone,XLV,wf_2020_2021,13
