date,portfolio_value,agent,ticker,fold_id,seed
2022-03-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-03-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-03-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-03-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-03-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-03-31,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-04-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-05-31,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-06-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-07-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-08-31,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-09-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-10-31,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-11-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2022-12-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-01-31,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-02-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-29,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-03-31,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-21,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-27,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-04-28,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-03,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-04,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-10,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-11,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-17,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-18,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-19,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-22,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-23,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-24,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-25,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-26,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-30,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-05-31,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-01,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-02,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-05,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-06,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-07,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-08,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-09,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-12,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-13,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-14,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-15,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-16,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
2023-06-20,986288.2960997525,ppo_standalone,SPY,wf_2022_2023,19
